Artist Name,City,Venue,Date,Time,Ticket Price
THOMAS JAMES SMITH,SHEFFIELD, Cafe#9,Tue 10th Jul 2018, 7:00am,£11.00
GLORIOUS CHORUS (FUNDRAISING FOR ASHBURTON ARTS),ASHBURTON, Arts Centre,Tue 10th Jul 2018, 7:30am,£11.00
GLORIOUS CHORUS (FUNDRAISING FOR ASHBURTON ARTS),ASHBURTON, Arts Centre,Tue 10th Jul 2018, 7:30am,£8.80
GELLERT SPA FULL DAY ENTRANCE TICKET,BUDAPEST, Gellért Thermal Spa,Tue 10th Jul 2018, 9:00am,£19.80
GELLERT SPA FULL DAY ENTRANCE TICKET,Gellért Thermal Spa Budapest Kelenhegyi út 4 H-1118 Hungary,,24th May 2017 - 31st December 2018 Spa Opening Hours 9am - 8pm Monday to Sunday,,""
SZÉCHENYI SPA FULL DAY ENTRANCE TICKET,BUDAPEST, Széchenyi Thermal Spa,Tue 10th Jul 2018, 9:00am,£18.70
SZÉCHENYI SPA FULL DAY ENTRANCE TICKET,Széchenyi Thermal Spa Budapest Állatkerti krt. 9-11 H-1146 Hungary,,24th May 2017 - 31st December 2018 Spa Opening Hours 9am - 10pm Monday to Sunday,,""
HOWARD READ EDINBURGH PREVIEW,EASTBOURNE, Printers Playhouse,Tue 10th Jul 2018, 6:30pm,£5.50
ACMS AT THE PHOENIX  JULY 10TH,LONDON, The Phoenix,Tue 10th Jul 2018, 7:00pm,£7.70
ACMS AT THE PHOENIX  JULY 10TH,LONDON, The Phoenix,Tue 10th Jul 2018, 7:00pm,£5.50
BRENNAN REECE AND KEMAH BOB AT XS MALARKEY,MANCHESTER, The Bread Shed,Tue 10th Jul 2018, 7:00pm,£5.50
BRENNAN REECE AND KEMAH BOB AT XS MALARKEY,MANCHESTER, The Bread Shed,Tue 10th Jul 2018, 7:00pm,£3.30
DOYLE,WORCESTER, Marrs Bar,Tue 10th Jul 2018, 7:00pm,£16.50
LUKE TUCHSCHERER + AMELIA WHITE,LONDON, Green Note,Tue 10th Jul 2018, 7:00pm,£11.00
SCOOP SESSIONS,BRIGHTON, The Verdict,Tue 10th Jul 2018, 7:00pm,£3.30
SIMPLY THE JEST - STAND UP COMEDY,BOURNEMOUTH, Smokin Aces,Tue 10th Jul 2018, 7:00pm,£3.30
'DROP IN',LONDON, The London Improv Theatre,Tue 10th Jul 2018, 7:00pm,£22.00
FREE COMEDY IN HAMMERSMITH,LONDON, The Grove bar and Restaurant,Tue 10th Jul 2018, 7:30pm,£0.00
GERAINT WATKINS & THE MOSQUITOS,LONDON, The Lexington,Tue 10th Jul 2018, 7:30pm,£16.50
HILARITY BITES PRESENTS SCOTT BENNETT & HAL BRANSON,DARLINGTON, Old English Gentleman,Tue 10th Jul 2018, 7:30pm,£5.50
INNERVISIONS FESTIVAL: WERKHA (LIVE) + RICHARD SPAVEN TRIO,LONDON , AGMP @ 100 Club,Tue 10th Jul 2018, 7:30pm,£13.75
INNERVISIONS FESTIVAL: WERKHA (LIVE) + RICHARD SPAVEN TRIO,LONDON , AGMP @ 100 Club,Tue 10th Jul 2018, 7:30pm,£11.00
"JONAH MATRANGA + FRIENDS // CELEBRATING 20 YEARS OF FAR'S ""WATER & SOLUTIONS""",BRIGHTON, Sticky Mike's Frog Bar,Tue 10th Jul 2018, 7:30pm,£11.00
JUNGLEPUSSY,LONDON, The Old Blue Last,Tue 10th Jul 2018, 7:30pm,£12.10
LAUGH TRAIN HOME FT. TOM STADE & ALEX EDELMAN (EDINBURGH PREVIEWS),LONDON, The Honor Oak,Tue 10th Jul 2018, 7:30pm,£7.70
OLD HITCHIN ON FILM,HITCHIN, Queen Mother Theatre Studio,Tue 10th Jul 2018, 7:30pm,£6.60
PHIL DI PALMA MUSIC PRESENTS...JOYFULTALK + BROADS AT THE WATERFRONT STUDIO,NORWICH, Waterfront Studio,Tue 10th Jul 2018, 7:30pm,£7.70
SARA PASCOES NEW MATERIAL FUNHOUSE,LONDON, Camden Head,Tue 10th Jul 2018, 7:30pm,£7.70
STEVE ANDREWS WITH KEITH NICHOLS & ROY CANSDALE,STAVELEY, Roundhouse,Tue 10th Jul 2018, 7:30pm,£15.95
STEVE ANDREWS WITH KEITH NICHOLS & ROY CANSDALE,STAVELEY, Roundhouse,Tue 10th Jul 2018, 7:30pm,£13.75
VITAL IDLES,MANCHESTER, 57 Thomas Street Marble Brewery,Tue 10th Jul 2018, 7:30pm,£5.50
ZOE LYONS + SARAH CALLAGHAN,BRIGHTON, Upstairs at the Caroline of Brunswick,Tue 10th Jul 2018, 7:30pm,£7.70
BEEZEWAX + CIRCA NOW + STAYAWAKES,EXETER, Cavern,Tue 10th Jul 2018, 8:00pm,£5.50
INTERNATIONAL COMEDY EDINBURGH PREVIEWS,LONDON, Downstairs @ The King's Head,Tue 10th Jul 2018, 8:00pm,£7.70
LOLO BROW: ATTENTION SEEKER,LONDON, Underbelly Festival,Tue 10th Jul 2018, 9:30pm,£17.05
GELLERT SPA FULL DAY ENTRANCE TICKET,BUDAPEST, Gellért Thermal Spa,Wed 11th Jul 2018, 9:00am,£19.80
SZÉCHENYI SPA FULL DAY ENTRANCE TICKET,BUDAPEST, Széchenyi Thermal Spa,Wed 11th Jul 2018, 9:00am,£18.70
GREEN KNIGHT,BUXTON, The Green Man Gallery,Wed 11th Jul 2018, 11:45am,£7.70
GREEN KNIGHT,BUXTON, The Green Man Gallery,Wed 11th Jul 2018, 11:45am,£5.50
'OLD BONES' BY JEN MCGREGOR,BUXTON, The Green Man Gallery,Wed 11th Jul 2018, 2:15pm,£8.25
'OLD BONES' BY JEN MCGREGOR,BUXTON, The Green Man Gallery,Wed 11th Jul 2018, 2:15pm,£5.50
